state,year,month,day,date,wday,births
AK,1969,1,1,1969-01-01,Wed,14
AL,1969,1,1,1969-01-01,Wed,174
AR,1969,1,1,1969-01-01,Wed,78
AZ,1969,1,1,1969-01-01,Wed,84
CA,1969,1,1,1969-01-01,Wed,824
CO,1969,1,1,1969-01-01,Wed,100
CT,1969,1,1,1969-01-01,Wed,90
DC,1969,1,1,1969-01-01,Wed,88
DE,1969,1,1,1969-01-01,Wed,32
FL,1969,1,1,1969-01-01,Wed,288
GA,1969,1,1,1969-01-01,Wed,250
HI,1969,1,1,1969-01-01,Wed,40
IA,1969,1,1,1969-01-01,Wed,98
ID,1969,1,1,1969-01-01,Wed,26
IL,1969,1,1,1969-01-01,Wed,422
IN,1969,1,1,1969-01-01,Wed,260
KS,1969,1,1,1969-01-01,Wed,78
KY,1969,1,1,1969-01-01,Wed,158
LA,1969,1,1,1969-01-01,Wed,208
MA,1969,1,1,1969-01-01,Wed,202
MD,1969,1,1,1969-01-01,Wed,126
ME,1969,1,1,1969-01-01,Wed,48
MI,1969,1,1,1969-01-01,Wed,394
MN,1969,1,1,1969-01-01,Wed,158
MO,1969,1,1,1969-01-01,Wed,182
MS,1969,1,1,1969-01-01,Wed,106
MT,1969,1,1,1969-01-01,Wed,24
NC,1969,1,1,1969-01-01,Wed,244
ND,1969,1,1,1969-01-01,Wed,30
NE,1969,1,1,1969-01-01,Wed,72
NH,1969,1,1,1969-01-01,Wed,34
NJ,1969,1,1,1969-01-01,Wed,256
NM,1969,1,1,1969-01-01,Wed,58
NV,1969,1,1,1969-01-01,Wed,14
NY,1969,1,1,1969-01-01,Wed,686
OH,1969,1,1,1969-01-01,Wed,406
OK,1969,1,1,1969-01-01,Wed,108
OR,1969,1,1,1969-01-01,Wed,66
PA,1969,1,1,1969-01-01,Wed,398
RI,1969,1,1,1969-01-01,Wed,52
SC,1969,1,1,1969-01-01,Wed,138
SD,1969,1,1,1969-01-01,Wed,22
TN,1969,1,1,1969-01-01,Wed,180
TX,1969,1,1,1969-01-01,Wed,502
UT,1969,1,1,1969-01-01,Wed,64
VA,1969,1,1,1969-01-01,Wed,172
VT,1969,1,1,1969-01-01,Wed,20
WA,1969,1,1,1969-01-01,Wed,136
WI,1969,1,1,1969-01-01,Wed,176
WV,1969,1,1,1969-01-01,Wed,84
WY,1969,1,1,1969-01-01,Wed,16
AK,1969,1,2,1969-01-02,Thurs,20
AL,1969,1,2,1969-01-02,Thurs,172
AR,1969,1,2,1969-01-02,Thurs,96
AZ,1969,1,2,1969-01-02,Thurs,88
CA,1969,1,2,1969-01-02,Thurs,816
CO,1969,1,2,1969-01-02,Thurs,94
CT,1969,1,2,1969-01-02,Thurs,118
DC,1969,1,2,1969-01-02,Thurs,72
DE,1969,1,2,1969-01-02,Thurs,30
FL,1969,1,2,1969-01-02,Thurs,276
GA,1969,1,2,1969-01-02,Thurs,220
HI,1969,1,2,1969-01-02,Thurs,24
IA,1969,1,2,1969-01-02,Thurs,146
ID,1969,1,2,1969-01-02,Thurs,38
IL,1969,1,2,1969-01-02,Thurs,472
IN,1969,1,2,1969-01-02,Thurs,240
KS,1969,1,2,1969-01-02,Thurs,76
KY,1969,1,2,1969-01-02,Thurs,146
LA,1969,1,2,1969-01-02,Thurs,194
MA,1969,1,2,1969-01-02,Thurs,242
MD,1969,1,2,1969-01-02,Thurs,186
ME,1969,1,2,1969-01-02,Thurs,40
MI,1969,1,2,1969-01-02,Thurs,418
MN,1969,1,2,1969-01-02,Thurs,184
MO,1969,1,2,1969-01-02,Thurs,210
MS,1969,1,2,1969-01-02,Thurs,136
MT,1969,1,2,1969-01-02,Thurs,20
NC,1969,1,2,1969-01-02,Thurs,242
ND,1969,1,2,1969-01-02,Thurs,30
NE,1969,1,2,1969-01-02,Thurs,62
NH,1969,1,2,1969-01-02,Thurs,28
NJ,1969,1,2,1969-01-02,Thurs,280
NM,1969,1,2,1969-01-02,Thurs,52
NV,1969,1,2,1969-01-02,Thurs,20
NY,1969,1,2,1969-01-02,Thurs,736
OH,1969,1,2,1969-01-02,Thurs,438
OK,1969,1,2,1969-01-02,Thurs,98
OR,1969,1,2,1969-01-02,Thurs,68
PA,1969,1,2,1969-01-02,Thurs,538
RI,1969,1,2,1969-01-02,Thurs,44
SC,1969,1,2,1969-01-02,Thurs,138
SD,1969,1,2,1969-01-02,Thurs,32
TN,1969,1,2,1969-01-02,Thurs,158
TX,1969,1,2,1969-01-02,Thurs,572
UT,1969,1,2,1969-01-02,Thurs,62
VA,1969,1,2,1969-01-02,Thurs,200
VT,1969,1,2,1969-01-02,Thurs,26
WA,1969,1,2,1969-01-02,Thurs,124
WI,1969,1,2,1969-01-02,Thurs,188
WV,1969,1,2,1969-01-02,Thurs,76
WY,1969,1,2,1969-01-02,Thurs,16
AK,1969,1,3,1969-01-03,Fri,20
AL,1969,1,3,1969-01-03,Fri,162
AR,1969,1,3,1969-01-03,Fri,116
AZ,1969,1,3,1969-01-03,Fri,80
CA,1969,1,3,1969-01-03,Fri,940
CO,1969,1,3,1969-01-03,Fri,88
CT,1969,1,3,1969-01-03,Fri,132
DC,1969,1,3,1969-01-03,Fri,76
DE,1969,1,3,1969-01-03,Fri,30
FL,1969,1,3,1969-01-03,Fri,280
GA,1969,1,3,1969-01-03,Fri,222
HI,1969,1,3,1969-01-03,Fri,36
IA,1969,1,3,1969-01-03,Fri,122
ID,1969,1,3,1969-01-03,Fri,30
IL,1969,1,3,1969-01-03,Fri,506
IN,1969,1,3,1969-01-03,Fri,258
KS,1969,1,3,1969-01-03,Fri,84
KY,1969,1,3,1969-01-03,Fri,150
LA,1969,1,3,1969-01-03,Fri,220
MA,1969,1,3,1969-01-03,Fri,260
MD,1969,1,3,1969-01-03,Fri,156
ME,1969,1,3,1969-01-03,Fri,30
MI,1969,1,3,1969-01-03,Fri,414
MN,1969,1,3,1969-01-03,Fri,174
MO,1969,1,3,1969-01-03,Fri,202
MS,1969,1,3,1969-01-03,Fri,138
MT,1969,1,3,1969-01-03,Fri,28
NC,1969,1,3,1969-01-03,Fri,266
ND,1969,1,3,1969-01-03,Fri,28
NE,1969,1,3,1969-01-03,Fri,36
NH,1969,1,3,1969-01-03,Fri,20
NJ,1969,1,3,1969-01-03,Fri,282
NM,1969,1,3,1969-01-03,Fri,58
NV,1969,1,3,1969-01-03,Fri,16
NY,1969,1,3,1969-01-03,Fri,866
OH,1969,1,3,1969-01-03,Fri,512
OK,1969,1,3,1969-01-03,Fri,136
OR,1969,1,3,1969-01-03,Fri,84
PA,1969,1,3,1969-01-03,Fri,556
RI,1969,1,3,1969-01-03,Fri,44
SC,1969,1,3,1969-01-03,Fri,134
SD,1969,1,3,1969-01-03,Fri,30
TN,1969,1,3,1969-01-03,Fri,192
TX,1969,1,3,1969-01-03,Fri,648
UT,1969,1,3,1969-01-03,Fri,58
VA,1969,1,3,1969-01-03,Fri,186
VT,1969,1,3,1969-01-03,Fri,16
WA,1969,1,3,1969-01-03,Fri,124
WI,1969,1,3,1969-01-03,Fri,198
WV,1969,1,3,1969-01-03,Fri,82
WY,1969,1,3,1969-01-03,Fri,16
AK,1969,1,4,1969-01-04,Sat,16
AL,1969,1,4,1969-01-04,Sat,162
AR,1969,1,4,1969-01-04,Sat,60
AZ,1969,1,4,1969-01-04,Sat,86
CA,1969,1,4,1969-01-04,Sat,906
CO,1969,1,4,1969-01-04,Sat,70
CT,1969,1,4,1969-01-04,Sat,114
DC,1969,1,4,1969-01-04,Sat,66
DE,1969,1,4,1969-01-04,Sat,30
FL,1969,1,4,1969-01-04,Sat,290
GA,1969,1,4,1969-01-04,Sat,246
HI,1969,1,4,1969-01-04,Sat,40
IA,1969,1,4,1969-01-04,Sat,116
ID,1969,1,4,1969-01-04,Sat,26
IL,1969,1,4,1969-01-04,Sat,488
IN,1969,1,4,1969-01-04,Sat,260
KS,1969,1,4,1969-01-04,Sat,74
KY,1969,1,4,1969-01-04,Sat,194
LA,1969,1,4,1969-01-04,Sat,198
MA,1969,1,4,1969-01-04,Sat,238
MD,1969,1,4,1969-01-04,Sat,170
ME,1969,1,4,1969-01-04,Sat,44
MI,1969,1,4,1969-01-04,Sat,402
MN,1969,1,4,1969-01-04,Sat,156
MO,1969,1,4,1969-01-04,Sat,214
MS,1969,1,4,1969-01-04,Sat,130
MT,1969,1,4,1969-01-04,Sat,34
NC,1969,1,4,1969-01-04,Sat,262
ND,1969,1,4,1969-01-04,Sat,38
NE,1969,1,4,1969-01-04,Sat,74
NH,1969,1,4,1969-01-04,Sat,32
NJ,1969,1,4,1969-01-04,Sat,292
NM,1969,1,4,1969-01-04,Sat,46
NV,1969,1,4,1969-01-04,Sat,26
NY,1969,1,4,1969-01-04,Sat,736
